,recipient,donor,coalesced_purpose_name,amount
161,South Africa,Australia,Industrial development,91287.0
162,South Africa,Belgium,Industrial development,7238.0
163,South Africa,Canada,Industrial development,26700909.0
164,South Africa,Denmark,Industrial development,4467244.0
165,South Africa,Finland,Industrial development,7517.0
166,South Africa,France,Air transport,2331311.0
167,South Africa,France,Rail transport,1034209.0
168,South Africa,Germany,Industrial development,937574.0
169,South Africa,Japan,Industrial development,185091.0
170,South Africa,Japan,Rail transport,65416241.0
171,South Africa,Netherlands,Industrial development,1380782.0
172,South Africa,Norway,Air transport,13527.0
173,South Africa,Norway,Industrial development,15424548.0
174,South Africa,Norway,Power generation/non-renewable sources,13640.0
175,South Africa,Norway,Rail transport,24172.0
176,South Africa,Sweden,Industrial development,1198432.0
177,South Africa,Sweden,Power generation/non-renewable sources,64374.0
178,South Africa,Switzerland,Industrial development,2665028.0
179,South Africa,United Kingdom,Industrial development,29567081.0
180,South Africa,United Kingdom,Power generation/non-renewable sources,68659652.0
181,South Africa,United States,Air transport,840454769.0
182,South Africa,United States,Industrial development,9681699.0
183,South Africa,United States,Power generation/non-renewable sources,1620571.0
184,South Africa,United States,Rail transport,533570.0
