,country,year,value
1292,Slovak Republic,2003,-41.479968
1313,Slovak Republic,2004,-33.775543
599,Slovak Republic,2005,0.326093
716,Slovak Republic,2009,0.014202
744,Slovak Republic,2010,0.014132
827,Slovak Republic,2013,0.041147
1069,Slovenia,1992,-10.62491
1088,Slovenia,1993,-2.60952
1108,Slovenia,1994,-12.375582
1129,Slovenia,1995,-7.405043
1149,Slovenia,1996,-90.121406
1170,Slovenia,1997,-7.858148
1191,Slovenia,1998,-8.484412
1214,Slovenia,1999,-12.831539
1235,Slovenia,2000,-32.556545
1254,Slovenia,2001,-13.913044
1273,Slovenia,2002,-7.66365
1293,Slovenia,2003,-6.291746
1314,Slovenia,2004,-12.414136
1330,Slovenia,2006,-0.074572
1338,Slovenia,2007,-0.105426
1343,Slovenia,2008,-0.105521
745,Slovenia,2010,0.13572
828,Slovenia,2013,0.014308
989,South Africa,1987,-105.825534
1004,South Africa,1988,-0.110849
1017,South Africa,1989,-320.399942
1033,South Africa,1990,-271.828896
1052,South Africa,1991,-64.650922
1070,South Africa,1992,-234.490451
1089,South Africa,1993,-541.955585
1109,South Africa,1994,-516.230795
1130,South Africa,1995,-626.257607
1150,South Africa,1996,-974.078843
1171,South Africa,1997,-694.29077
1192,South Africa,1998,-666.789364
1215,South Africa,1999,-669.943614
1236,South Africa,2000,-737.221627
1255,South Africa,2001,-935.444476
1274,South Africa,2002,-644.990736
1294,South Africa,2003,-608.58139
1315,South Africa,2004,-540.700003
1324,South Africa,2005,-927.379768
1331,South Africa,2006,-853.103554
1339,South Africa,2007,-1070.653291
1344,South Africa,2008,-1148.281785
1350,South Africa,2009,-1281.799284
1355,South Africa,2010,-971.208512
1361,South Africa,2011,-943.390545
1367,South Africa,2012,-955.734671
1373,South Africa,2013,-1350.212256
905,Spain,1980,-285.026867
921,Spain,1981,-199.457361
934,Spain,1982,-77.22758
266,Spain,1989,100.535177
284,Spain,1990,33.91295
300,Spain,1991,134.87373
336,Spain,1993,36.693281
354,Spain,1994,6.797785
373,Spain,1995,24.737384
394,Spain,1996,41.88727
414,Spain,1997,61.562728
434,Spain,1998,56.295291
452,Spain,1999,79.380361
473,Spain,2000,59.684269
497,Spain,2001,71.240556
523,Spain,2002,76.21754
548,Spain,2003,134.313618
572,Spain,2004,62.843645
600,Spain,2005,81.547019
627,Spain,2006,102.707597
658,Spain,2007,118.856065
690,Spain,2008,152.422527
717,Spain,2009,238.613474
746,Spain,2010,128.037041
773,Spain,2011,100.140152
800,Spain,2012,55.560499
829,Spain,2013,55.835945
9,Sweden,1973,168.369255
23,Sweden,1974,30.29933
36,Sweden,1975,201.059589
52,Sweden,1976,151.806434
69,Sweden,1977,143.468255
85,Sweden,1978,472.112462
100,Sweden,1979,253.701905
115,Sweden,1980,-24.603423
133,Sweden,1981,127.064537
149,Sweden,1982,147.903816
168,Sweden,1983,136.226862
183,Sweden,1984,133.481767
200,Sweden,1985,123.90361
216,Sweden,1986,198.445181
232,Sweden,1987,72.374249
248,Sweden,1988,185.535976
267,Sweden,1989,946.284591
285,Sweden,1990,400.387605
301,Sweden,1991,173.278658
318,Sweden,1992,272.478628
337,Sweden,1993,117.438835
355,Sweden,1994,171.45049
374,Sweden,1995,233.739645
395,Sweden,1996,142.391886
415,Sweden,1997,126.68684
435,Sweden,1998,117.64665
453,Sweden,1999,121.378837
474,Sweden,2000,68.464897
498,Sweden,2001,95.729319
524,Sweden,2002,48.750953
549,Sweden,2003,109.071656
573,Sweden,2004,58.723484
601,Sweden,2005,89.823816
628,Sweden,2006,48.832575
659,Sweden,2007,45.89052
691,Sweden,2008,40.720968
718,Sweden,2009,76.554392
747,Sweden,2010,94.79024
774,Sweden,2011,57.386226
801,Sweden,2012,42.966784
830,Sweden,2013,82.270421
10,Switzerland,1973,14.060941
24,Switzerland,1974,64.549529
37,Switzerland,1975,103.204755
53,Switzerland,1976,43.577287
70,Switzerland,1977,111.194695
86,Switzerland,1978,35.883359
101,Switzerland,1979,67.821487
116,Switzerland,1980,10.028652
134,Switzerland,1981,18.045799
150,Switzerland,1982,63.684924
169,Switzerland,1983,190.42709
184,Switzerland,1984,116.248354
201,Switzerland,1985,52.165585
217,Switzerland,1986,35.598036
233,Switzerland,1987,87.982342
249,Switzerland,1988,32.738889
268,Switzerland,1989,75.386666
286,Switzerland,1990,123.834846
302,Switzerland,1991,157.754122
319,Switzerland,1992,31.332667
338,Switzerland,1993,43.709522
356,Switzerland,1994,40.39594
375,Switzerland,1995,37.875588
396,Switzerland,1996,63.515858
416,Switzerland,1997,101.719058
436,Switzerland,1998,70.204297
454,Switzerland,1999,104.48204
475,Switzerland,2000,128.961864
499,Switzerland,2001,93.682742
525,Switzerland,2002,127.911465
550,Switzerland,2003,65.82057
574,Switzerland,2004,61.749696
602,Switzerland,2005,70.799346
629,Switzerland,2006,43.757262
660,Switzerland,2007,51.309531
692,Switzerland,2008,39.32455
719,Switzerland,2009,53.471939
748,Switzerland,2010,53.676771
775,Switzerland,2011,39.344798
802,Switzerland,2012,41.783411
831,Switzerland,2013,74.744897
850,Taiwan,1974,-0.115048
872,Taiwan,1977,-0.163198
906,Taiwan,1980,-374.058844
922,Taiwan,1981,-312.886996
935,Taiwan,1982,-617.069786
945,Taiwan,1983,-54.105626
956,Taiwan,1984,-247.894043
969,Taiwan,1985,-28.782961
981,Taiwan,1986,-21.795291
990,Taiwan,1987,-14.965414
1005,Taiwan,1988,-29.459009
1018,Taiwan,1989,-75.026666
1053,Taiwan,1991,-5.446049
357,Taiwan,1994,42.97298
1131,Taiwan,1995,-2.561779
1151,Taiwan,1996,-9.333721
1172,Taiwan,1997,-2.454079
1193,Taiwan,1998,-0.876129
455,Taiwan,1999,-573.709935
1237,Taiwan,2000,-779.075653
1256,Taiwan,2001,-13.68933
1275,Taiwan,2002,-170.259619
1295,Taiwan,2003,-15.103689
1316,Taiwan,2004,-17.88829
630,Taiwan,2006,6.324571
661,Taiwan,2007,0.375139
693,Taiwan,2008,0.348667
720,Taiwan,2009,0.312954
749,Taiwan,2010,0.287807
776,Taiwan,2011,0.282125
842,Thailand,1973,-206.363405
851,Thailand,1974,-867.668418
858,Thailand,1975,-333.639956
865,Thailand,1976,-110.042103
873,Thailand,1977,-715.883953
881,Thailand,1978,-859.278853
889,Thailand,1979,-1283.439829
907,Thailand,1980,-902.852253
923,Thailand,1981,-1178.204797
936,Thailand,1982,-1595.007194
946,Thailand,1983,-1165.432587
957,Thailand,1984,-1135.099078
970,Thailand,1985,-1151.123605
982,Thailand,1986,-762.121484
991,Thailand,1987,-1016.033769
1006,Thailand,1988,-1297.612686
1019,Thailand,1989,-626.032718
1034,Thailand,1990,-1790.643316
1054,Thailand,1991,-1898.189675
1071,Thailand,1992,-1014.335727
1090,Thailand,1993,-3338.548445
1110,Thailand,1994,-1416.098158
1132,Thailand,1995,-792.655526
1152,Thailand,1996,-1671.334558
1173,Thailand,1997,-6371.021429
1194,Thailand,1998,-2437.534353
1216,Thailand,1999,-3761.639876
1238,Thailand,2000,-1792.837766
1257,Thailand,2001,-532.323112
1276,Thailand,2002,-1205.361664
1296,Thailand,2003,-289.796785
1317,Thailand,2004,-722.23235
1325,Thailand,2005,-750.726362
1332,Thailand,2006,-475.487975
662,Thailand,2007,-246.616632
1345,Thailand,2008,-938.244893
1351,Thailand,2009,-1038.513059
750,Thailand,2010,-560.932861
1362,Thailand,2011,-196.842375
1368,Thailand,2012,-333.622409
1374,Thailand,2013,-259.915985
843,United Arab Emirates,1973,-0.065097
54,United Arab Emirates,1976,64.911546
874,United Arab Emirates,1977,-3.599299
908,United Arab Emirates,1980,-0.174742
924,United Arab Emirates,1981,-1.813286
937,United Arab Emirates,1982,-0.936588
947,United Arab Emirates,1983,-0.598545
958,United Arab Emirates,1984,-0.505928
971,United Arab Emirates,1985,-136.260119
992,United Arab Emirates,1987,-131.76027
1111,United Arab Emirates,1994,-9.485289
1133,United Arab Emirates,1995,-1.579978
1153,United Arab Emirates,1996,-1.038083
1174,United Arab Emirates,1997,-1.002901
1195,United Arab Emirates,1998,-0.461121
1217,United Arab Emirates,1999,-0.59552
1239,United Arab Emirates,2000,-0.628944
1258,United Arab Emirates,2001,-2.140111
1277,United Arab Emirates,2002,-1.783343
1297,United Arab Emirates,2003,-2.325618
1318,United Arab Emirates,2004,-3.45169
751,United Arab Emirates,2010,1.109303
777,United Arab Emirates,2011,0.590706
803,United Arab Emirates,2012,1.025431
11,United Kingdom,1973,442.579189
25,United Kingdom,1974,1405.378815
38,United Kingdom,1975,222.187891
55,United Kingdom,1976,51.613566
71,United Kingdom,1977,860.011341
87,United Kingdom,1978,971.709388
102,United Kingdom,1979,5.012313
117,United Kingdom,1980,168.108919
135,United Kingdom,1981,-550.943311
151,United Kingdom,1982,775.33473
170,United Kingdom,1983,571.67992
185,United Kingdom,1984,753.538727
202,United Kingdom,1985,1.255318
218,United Kingdom,1986,227.395004
234,United Kingdom,1987,829.894066
250,United Kingdom,1988,80.251575
269,United Kingdom,1989,269.229353
287,United Kingdom,1990,270.402953
303,United Kingdom,1991,270.595943
320,United Kingdom,1992,1055.458482
339,United Kingdom,1993,407.941751
358,United Kingdom,1994,297.003626
376,United Kingdom,1995,385.163028
397,United Kingdom,1996,934.520515
417,United Kingdom,1997,734.365792
437,United Kingdom,1998,703.712023
456,United Kingdom,1999,847.273116
476,United Kingdom,2000,725.259608
500,United Kingdom,2001,687.651442
526,United Kingdom,2002,650.113998
551,United Kingdom,2003,838.243526
575,United Kingdom,2004,879.59586
603,United Kingdom,2005,822.343669
631,United Kingdom,2006,800.91488
663,United Kingdom,2007,1019.400656
694,United Kingdom,2008,788.164298
721,United Kingdom,2009,979.674038
752,United Kingdom,2010,435.982774
778,United Kingdom,2011,238.230871
804,United Kingdom,2012,386.497679
832,United Kingdom,2013,490.44808
12,United States,1973,1553.264205
26,United States,1974,871.092243
39,United States,1975,944.272511
56,United States,1976,897.290248
72,United States,1977,246.198361
88,United States,1978,438.452911
103,United States,1979,717.779582
118,United States,1980,6864.224034
136,United States,1981,8124.423748
152,United States,1982,3462.490652
171,United States,1983,1091.122225
186,United States,1984,2515.278485
203,United States,1985,2735.617446
219,United States,1986,1334.668057
235,United States,1987,1846.214071
251,United States,1988,1051.167154
270,United States,1989,1065.107732
288,United States,1990,1722.305682
304,United States,1991,2887.003516
321,United States,1992,11399.2785
340,United States,1993,4501.838784
359,United States,1994,8154.319014
377,United States,1995,3392.57437
398,United States,1996,4595.800488
418,United States,1997,3423.306503
438,United States,1998,2460.766389
457,United States,1999,7962.084321
477,United States,2000,6008.166308
501,United States,2001,4136.147099
527,United States,2002,4549.554512
552,United States,2003,1258.474359
576,United States,2004,1328.167876
604,United States,2005,1350.566958
632,United States,2006,1935.937419
664,United States,2007,1006.928274
695,United States,2008,1715.189257
722,United States,2009,1695.864746
753,United States,2010,1517.053044
779,United States,2011,1158.99162
805,United States,2012,1093.496899
833,United States,2013,1059.333467
