,recipient,donor,coalesced_purpose_name,amount
124,Korea,France,Industrial development,28328996.0
125,Korea,France,Rail transport,22092.0
126,Korea,Germany,Industrial development,75072695.0
127,Korea,Germany,Rail transport,29015007.0
128,Korea,Japan,Industrial development,508053866.0
129,Korea,Japan,Rail transport,903052049.0
130,Korea,United States,Air transport,5260158081.0
131,Korea,United States,Industrial development,866792664.0
132,Korea,United States,Power generation/non-renewable sources,1397886659.0
133,Korea,United States,Rail transport,105533013.0
