,recipient,donor,coalesced_purpose_name,amount
155,Saudi Arabia,Austria,Industrial development,203662.0
156,Saudi Arabia,Japan,Industrial development,222224525.0
157,Saudi Arabia,United States,Air transport,3423114025.0
158,Saudi Arabia,United States,Industrial development,254167658.0
159,Saudi Arabia,United States,Power generation/non-renewable sources,126190249.0
160,Saudi Arabia,United States,Rail transport,386553.0
