,recipient,donor,coalesced_purpose_name,amount
185,Thailand,Australia,Air transport,75135.0
186,Thailand,Australia,Industrial development,26897.0
187,Thailand,Australia,Power generation/non-renewable sources,270795.0
188,Thailand,Australia,Rail transport,36367087.0
189,Thailand,Austria,Industrial development,2281844.0
190,Thailand,Belgium,Air transport,125252.0
191,Thailand,Belgium,Industrial development,3765246.0
192,Thailand,Belgium,Rail transport,430774.0
193,Thailand,Canada,Air transport,443224.0
194,Thailand,Canada,Industrial development,70008809.0
195,Thailand,Canada,Power generation/non-renewable sources,26416174.0
196,Thailand,Denmark,Industrial development,7334447.0
197,Thailand,Denmark,Power generation/non-renewable sources,593723.0
198,Thailand,Denmark,Rail transport,5010773.0
199,Thailand,Finland,Industrial development,58111179.0
200,Thailand,France,Air transport,638493.0
201,Thailand,France,Industrial development,23981834.0
202,Thailand,France,Power generation/non-renewable sources,9766637.0
203,Thailand,France,Rail transport,109211256.0
204,Thailand,Germany,Industrial development,166368356.0
205,Thailand,Germany,Power generation/non-renewable sources,54313899.0
206,Thailand,Germany,Rail transport,162391210.0
207,Thailand,Italy,Rail transport,1488852.0
208,Thailand,Japan,Air transport,2648319527.0
209,Thailand,Japan,Industrial development,1348021971.0
210,Thailand,Japan,Power generation/non-renewable sources,22364340.0
211,Thailand,Japan,Rail transport,5249205847.0
212,Thailand,Korea,Air transport,52335.0
213,Thailand,Korea,Industrial development,1096198.0
214,Thailand,Korea,Power generation/non-renewable sources,109423.0
215,Thailand,Korea,Rail transport,111908.0
216,Thailand,Kuwait,Power generation/non-renewable sources,65310902.0
217,Thailand,Netherlands,Industrial development,13813129.0
218,Thailand,Norway,Air transport,60502.0
219,Thailand,Norway,Industrial development,6304303.0
220,Thailand,Saudi Arabia,Power generation/non-renewable sources,95676536.0
221,Thailand,Spain,Industrial development,32435.0
222,Thailand,Sweden,Industrial development,13259316.0
223,Thailand,Switzerland,Power generation/non-renewable sources,6063103.0
224,Thailand,United Kingdom,Industrial development,123175026.0
225,Thailand,United Kingdom,Rail transport,12874688.0
226,Thailand,United States,Air transport,1378790278.0
227,Thailand,United States,Industrial development,1460262364.0
228,Thailand,United States,Power generation/non-renewable sources,619621837.0
229,Thailand,United States,Rail transport,18742.0
